hf_rank,bgg_rank,name,hyperfixation
568,677,Unmatched: Jurassic Park – InGen vs Raptors,1.4886
569,228,Suburbia,1.4871
570,523,Citadels,1.4831
571,131,Ra,1.4828
572,620,Valeria: Card Kingdoms,1.4827
573,63,Mansions of Madness: Second Edition,1.4805
574,744,Star Wars: The Clone Wars,1.4781
575,22,Nemesis,1.4759
576,158,Targi,1.475
577,717,The Downfall of Pompeii,1.475
578,101,Darwin's Journey,1.4744
579,714,Formula D,1.4741
580,566,Oceans,1.4715
581,472,Andromeda's Edge,1.4706
582,186,Istanbul,1.4704
583,357,Bunny Kingdom,1.47
584,428,Newton,1.47
585,608,Runebound (Third Edition),1.4694
586,638,Space Empires 4X,1.4681
587,45,Underwater Cities,1.4672
588,65,Tzolk'in: The Mayan Calendar,1.4671
589,987,Ca$h 'n Guns: Second Edition,1.466
590,713,Betrayal at House on the Hill,1.4645
591,16,Great Western Trail,1.4642
592,416,Blood Bowl: Team Manager – The Card Game,1.4621
593,242,Paths of Glory,1.4615
594,921,Letter Jam,1.4615
595,412,Abyss,1.4608
596,369,Thunder Road: Vendetta,1.4603
597,43,Food Chain Magnate,1.4598
598,109,Battlestar Galactica: The Board Game,1.4588
599,315,Cthulhu Wars,1.4584
600,845,New York Zoo,1.4583
601,73,Paladins of the West Kingdom,1.4582
602,50,Caverna: The Cave Farmers,1.4581
603,766,AuZtralia,1.4557
604,320,Distilled,1.4548
605,125,Troyes,1.4532
606,526,Unmatched: Little Red Riding Hood vs. Beowulf,1.4502
607,843,Reef,1.4501
608,273,Isle of Skye: From Chieftain to King,1.4486
609,833,Between Two Cities,1.4476
610,207,Meadow,1.4468
611,561,Through the Desert,1.4444
612,417,Carpe Diem,1.4443
613,607,RoboRally,1.4438
614,82,Clank!: Catacombs,1.4409
615,178,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1.44
616,239,Return to Dark Tower,1.4378
617,380,Raiders of Scythia,1.4367
618,473,Ready Set Bet,1.4358
619,350,Survive: Escape from Atlantis!,1.4338
620,495,Woodcraft,1.4328
621,155,PARKS,1.432
622,825,K2,1.4317
623,1,Brass: Birmingham,1.4288
624,810,Diplomacy,1.4286
625,678,Cooper Island,1.4285
626,850,Ezra and Nehemiah,1.4272
627,940,XCOM: The Board Game,1.4271
628,233,Dead of Winter: A Crossroads Game,1.4262
629,729,Beer & Bread,1.4248
630,643,Time's Up! Title Recall!,1.4242
631,606,Discworld: Ankh-Morpork,1.424
632,827,My Little Scythe,1.4236
633,707,Hammer of the Scots,1.4211
634,361,Bruges,1.4204
635,765,The Oracle of Delphi,1.4177
636,123,Caylus,1.4174
637,394,Letters from Whitechapel,1.4144
638,849,Yspahan,1.4138
639,116,Great Western Trail: New Zealand,1.4129
640,824,Empire of the Sun: The Pacific War 1941-1945,1.4118
641,908,Merchants Cove,1.4115
642,517,Glen More,1.4106
643,165,Tyrants of the Underdark,1.41
644,736,Trains,1.4076
645,206,The Red Cathedral,1.4074
646,301,Oath,1.4065
647,573,Aquatica,1.4056
648,415,Dead Reckoning,1.4044
649,312,Forgotten Waters,1.4031
650,139,Age of Steam,1.4029
651,530,Hadara,1.4029
652,118,Raiders of the North Sea,1.4028
653,969,Life of the Amazonia,1.4008
654,291,Viticulture,1.4006
655,135,Nemesis: Lockdown,1.4003
656,399,Tekhenu: Obelisk of the Sun,1.4
657,107,Inis,1.399
658,53,On Mars,1.3985
659,351,The Witcher: Old World,1.3978
660,889,SpaceCorp: 2025-2300AD,1.3976
661,157,Rajas of the Ganges,1.3973
662,872,Circadians: First Light,1.3967
663,592,Freedom: The Underground Railroad,1.3964
664,859,Finca,1.3958
665,841,La Granja: Deluxe Master Set,1.3957
666,47,Kanban EV,1.3952
667,34,Orléans,1.3949
